"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Export and Import of Goods and Services","31-Dec-2024","TS_GP_BOP_XMGS_M.P00240","......5 Construction","5","Million USD","Normal","","240","Imports of Services-Construction"
"Export and Import of Goods and Services","31-Dec-2024","TS_GP_BOP_XMGS_M.P00250","......6 Insurance and Pension Services","30","Million USD","Normal","","250","Imports of Services-Insurance and Pension Services"
"Export and Import of Goods and Services","31-Dec-2024","TS_GP_BOP_XMGS_M.P00260","......7 Financial Services","56","Million USD","Normal","","260","Imports of Services-Financial Services"
"Export and Import of Goods and Services","31-Dec-2024","TS_GP_BOP_XMGS_M.P00270","......8 Charges for the use of Intellectual Property n.i.e.","17","Million USD","Normal","","270","Imports of Services-Charges for the use of Intellectual Property n.i.e."
"Export and Import of Goods and Services","31-Dec-2024","TS_GP_BOP_XMGS_M.P00280","......9 Telecommunications, Computer, and Information Services","126","Million USD","Normal","","280","Imports of Services-Telecommunications, Computer, and Information Services"
"Export and Import of Goods and Services","31-Dec-2024","TS_GP_BOP_XMGS_M.P00290","......10 Other Business Services","81","Million USD","Normal","","290","Imports of Services-Other Business Services"
"Export and Import of Goods and Services","31-Dec-2024","TS_GP_BOP_XMGS_M.P00300","......11 Personal, Cultural, and Recreational Services","1","Million USD","Normal","","300","Imports of Services-Personal, Cultural, and Recreational Services"
"Export and Import of Goods and Services","31-Dec-2024","TS_GP_BOP_XMGS_M.P00310","......12 Government Goods and Services n.i.e.","59","Million USD","Normal","","310","Imports of Services-Government Goods and Services n.i.e."
"Export and Import of Goods and Services","31-Dec-2024","TS_GP_BOP_XMGS_M.P00320","B. Imports of Goods and Services","5947","Million USD","Normal","","320","Imports of Goods and Services-Total"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00010",". Goods and Services Balance (A-B)","-1474","Million USD","Normal","","10","Goods and Services Balance"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00020","1 Goods - Export (FOB)","2785","Million USD","Normal","","20","Goods - Export (FOB)"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00030","2 Exports of Services","666","Million USD","Normal","","30","Exports of Services-Total"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00040","......1 Manufacturing Services on Physical inputs owned by Others","0","Million USD","Normal","","40","Exports of Services-Manufacturing Services on Physical inputs owned by Others"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00050","......2 Maintenance and Repair Services n.i.e.","1","Million USD","Normal","","50","Exports of Services-Maintenance and Repair Services n.i.e."
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00060","......3 Transport","79","Million USD","Normal","","60","Exports of Services-Transport"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00070","......4 Travel","69","Million USD","Normal","","70","Exports of Services-Travel"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00080","......5 Construction","2","Million USD","Normal","","80","Exports of Services-Construction"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00090","......6 Insurance and Pension Services","7","Million USD","Normal","","90","Exports of Services-Insurance and Pension Services"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00100","......7 Financial Services","4","Million USD","Normal","","100","Exports of Services-Financial Services"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00110","......8 Charges for the use of Intellectual Property n.i.e.","1","Million USD","Normal","","110","Exports of Services-Charges for the use of Intellectual Property n.i.e."
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00120","......9 Telecommunications, Computer, and Information Services","311","Million USD","Normal","","120","Exports of Services-Telecommunications, Computer, and Information Services"
"Export and Import of Goods and Services","30-Nov-2024","TS_GP_BOP_XMGS_M.P00130","......10 Other Business Services","125","Million USD","Normal","","130","Exports of Services-Other Business Services"
